Date,Open,High,Low,Fear Greed
4/22/2014,,,,46
4/23/2014,,,,27
4/24/2014,,,,25
4/25/2014,,,,29
4/28/2014,,,,20
4/29/2014,,,,18
4/30/2014,,,,20
5/1/2014,,,,13
5/2/2014,,,,15
5/5/2014,,,,20
5/6/2014,,,,17
5/7/2014,,,,22
5/8/2014,,,,28
5/9/2014,,,,29
5/12/2014,,,,32
5/13/2014,,,,32
5/14/2014,,,,30
5/15/2014,,,,42
5/16/2014,,,,39
5/19/2014,,,,45
5/20/2014,,,,48
5/21/2014,,,,55
5/22/2014,,,,57
5/23/2014,,,,58
5/27/2014,,,,62
5/28/2014,,,,56
5/29/2014,,,,63
5/30/2014,,,,66
6/2/2014,,,,78
6/3/2014,,,,80
6/4/2014,,,,81
6/5/2014,,,,81
6/6/2014,,,,76
6/9/2014,,,,57
6/10/2014,,,,49
6/11/2014,,,,44
6/12/2014,,,,49
6/13/2014,,,,51
6/16/2014,,,,53
6/17/2014,,,,54
6/18/2014,,,,56
6/19/2014,,,,49
6/20/2014,,,,43
6/23/2014,,,,43
6/24/2014,,,,34
6/25/2014,,,,36
6/26/2014,,,,50
6/27/2014,,,,51
6/30/2014,,,,53
7/1/2014,,,,51
7/2/2014,,,,49
7/3/2014,,,,35
7/7/2014,,,,34
7/8/2014,,,,31
7/9/2014,,,,31
7/10/2014,,,,21
7/11/2014,,,,23
7/14/2014,,,,23
7/15/2014,,,,28
7/16/2014,,,,28
7/17/2014,,,,38
7/18/2014,,,,40
7/21/2014,,,,40
7/22/2014,,,,39
7/23/2014,,,,35
7/24/2014,,,,34
7/25/2014,,,,34
7/28/2014,,,,33
7/29/2014,,,,30
7/30/2014,,,,32
7/31/2014,,,,34
8/1/2014,,,,34
8/4/2014,,,,33
8/5/2014,,,,33
8/6/2014,,,,42
8/7/2014,,,,45
8/8/2014,,,,39
8/11/2014,,,,38
8/12/2014,,,,28
8/13/2014,,,,28
8/14/2014,,,,26
8/15/2014,,,,21
8/18/2014,,,,29
8/19/2014,,,,36
8/20/2014,,,,37
8/21/2014,,,,40
8/22/2014,,,,42
8/25/2014,,,,42
8/26/2014,,,,45
8/27/2014,,,,58
8/28/2014,,,,66
8/29/2014,,,,66
9/2/2014,,,,81
9/3/2014,,,,81
9/4/2014,,,,89
9/5/2014,,,,90
9/8/2014,,,,88
9/9/2014,,,,83
9/10/2014,,,,85
9/11/2014,,,,87
9/12/2014,,,,88
9/15/2014,,,,94
9/16/2014,,,,95
9/17/2014,,,,95
9/18/2014,,,,93
9/19/2014,,,,83
9/22/2014,,,,83
9/23/2014,,,,77
9/24/2014,,,,76
9/25/2014,,,,87
9/26/2014,,,,87
9/29/2014,,,,87
9/30/2014,,,,86
10/1/2014,,,,68
10/2/2014,,,,74
10/3/2014,,,,62
10/6/2014,,,,56
10/7/2014,,,,57
10/8/2014,,,,59
10/9/2014,,,,56
10/10/2014,,,,55
10/13/2014,,,,32
10/14/2014,,,,46
10/15/2014,,,,37
10/16/2014,,,,38
10/17/2014,,,,39
10/20/2014,,,,42
10/21/2014,,,,34
10/22/2014,,,,34
10/23/2014,,,,31
10/24/2014,,,,26
10/27/2014,,,,10
10/28/2014,,,,5
10/29/2014,,,,5
10/30/2014,,,,5
10/31/2014,,,,5
11/3/2014,,,,5
11/4/2014,,,,10
11/5/2014,,,,7
11/6/2014,,,,8
11/7/2014,,,,13
11/10/2014,,,,16
11/11/2014,,,,14
11/12/2014,,,,26
11/13/2014,,,,31
11/14/2014,,,,37
11/17/2014,,,,36
11/18/2014,,,,37
11/19/2014,,,,35
11/20/2014,,,,36
11/21/2014,,,,33
11/24/2014,,,,33
11/25/2014,,,,41
11/26/2014,,,,48
11/28/2014,,,,48
12/1/2014,,,,47
12/2/2014,,,,50
12/3/2014,,,,47
12/4/2014,,,,42
12/5/2014,,,,45
12/8/2014,,,,44
12/9/2014,,,,43
12/10/2014,,,,38
12/11/2014,,,,37
12/12/2014,,,,42
12/15/2014,,,,37
12/16/2014,,,,36
12/17/2014,,,,22
12/18/2014,,,,18
12/19/2014,,,,17
12/22/2014,,,,8
12/23/2014,,,,13
12/24/2014,,,,11
12/26/2014,,,,12
12/29/2014,,,,7
12/30/2014,,,,3
12/31/2014,,,,5
1/2/2015,,,,5
1/5/2015,,,,6
1/6/2015,,,,4
1/7/2015,,,,3
1/8/2015,,,,1
1/9/2015,,,,0
1/12/2015,,,,2
1/13/2015,,,,1
1/14/2015,,,,2
1/15/2015,,,,7
1/16/2015,,,,5
1/20/2015,,,,7
1/21/2015,,,,8
1/22/2015,,,,11
1/23/2015,,,,13
1/26/2015,,,,16
1/27/2015,,,,21
1/28/2015,,,,25
1/29/2015,,,,31
1/30/2015,,,,32
2/2/2015,,,,40
2/3/2015,,,,40
2/4/2015,,,,49
2/5/2015,,,,49
2/6/2015,,,,55
2/9/2015,,,,57
2/10/2015,,,,58
2/11/2015,,,,56
2/12/2015,,,,54
2/13/2015,,,,53
2/17/2015,,,,53
2/18/2015,,,,54
2/19/2015,,,,55
2/20/2015,,,,59
2/23/2015,,,,59
2/24/2015,,,,62
2/25/2015,,,,62
2/26/2015,,,,63
2/27/2015,,,,59
3/2/2015,,,,55
3/3/2015,,,,55
3/4/2015,,,,59
3/5/2015,,,,59
3/6/2015,,,,61
3/9/2015,,,,55
3/10/2015,,,,46
3/11/2015,,,,41
3/12/2015,,,,37
3/13/2015,,,,31
3/16/2015,,,,22
3/17/2015,,,,19
3/18/2015,,,,21
3/19/2015,,,,33
3/20/2015,,,,33
3/23/2015,,,,43
3/24/2015,,,,45
3/25/2015,,,,47
3/26/2015,,,,48
3/27/2015,,,,47
3/30/2015,,,,47
3/31/2015,,,,45
4/1/2015,,,,37
4/2/2015,,,,30
4/6/2015,,,,21
4/7/2015,,,,21
4/8/2015,,,,28
4/9/2015,,,,29
4/10/2015,,,,30
4/13/2015,,,,29
4/14/2015,,,,30
4/15/2015,,,,30
4/16/2015,,,,26
4/17/2015,,,,25
4/20/2015,,,,28
4/21/2015,,,,32
4/22/2015,,,,31
4/23/2015,,,,28
4/24/2015,,,,28
4/27/2015,,,,26
4/28/2015,,,,26
4/29/2015,,,,25
4/30/2015,,,,30
